school,district,city,county,2010,2011,2012,2013,2014,2015,2016,2017,total
Garfield Elem School,Maywood-Melrose Park-Broadview 89,Maywood,Cook,0,0,2,0,2,0,0,1,5
Lincoln Elementary School,Bellwood SD 88,Bellwood,Cook,0,2,2,1,0,0,0,0,5
Hope Academy,Decatur SD 61,Decatur,Macon,0,0,0,0,0,0,0,3,3
Mary Lou Cowlishaw Elementary,Indian Prairie CUSD 204,Naperville,Dupage,0,3,0,0,0,0,0,0,3
Ellis Arts Academy,Rockford SD 205,Rockford,Winnebago,0,0,0,0,1,2,0,0,3
McKinley Elem School,Ottawa ESD 141,Ottawa,La Salle,0,0,0,0,0,2,0,0,2
Emerson Elem School,Maywood-Melrose Park-Broadview 89,Maywood,Cook,0,0,1,0,0,0,1,0,2
William Hatch Elem School,Oak Park ESD 97,Oak Park,Cook,0,0,2,0,0,0,0,0,2
Irving Elem School,Oak Park ESD 97,Oak Park,Cook,0,0,0,0,0,1,0,1,2
Lincoln Elementary School,Dolton SD 148,Dolton,Cook,0,0,0,0,0,1,1,0,2
Proviso West High School,Proviso Twp HSD 209,Hillside,Cook,0,0,0,1,0,0,1,0,2
Metea Valley High School,Indian Prairie CUSD 204,Aurora,Dupage,0,0,0,0,1,0,1,0,2
Francis Granger Middle School,Indian Prairie CUSD 204,Aurora,Dupage,0,0,0,0,1,0,0,1,2
Westfield Community School,CUSD 300,Algonquin,Kane,0,0,0,0,0,0,0,2,2
Everett F Kerr Middle School,Cook County SD 130,Blue Island,Cook,0,0,0,0,0,0,0,2,2
Valley View Elem School,McHenry CCSD 15,Mchenry,McHenry,0,0,0,2,0,0,0,0,2
Fieldcrest Elem School,Prairie-Hills ESD 144,Oak Forest,Cook,0,0,0,0,0,2,0,0,2
Chateaux School,Prairie-Hills ESD 144,Hazel Crest,Cook,0,0,0,0,0,2,0,0,2
Farragut Elem School,Joliet PSD 86,Joliet,Will,0,0,0,0,2,0,0,0,2
Indian Trail Jr High School,Addison SD 4,Addison,Dupage,0,0,0,1,1,0,0,0,2
North Elem School,SD 45 DuPage County,Villa Park,Dupage,0,0,0,0,2,0,0,0,2
Enger School,,Franklin Park,Cook,2,0,0,0,0,0,0,0,2
McKinley Elem School,Bellwood SD 88,Bellwood,Cook,0,0,0,0,0,2,0,0,2
Thurgood Marshall Elem School,Bellwood SD 88,Bellwood,Cook,0,0,0,0,0,0,0,1,1
Century Oaks Elem School,SD U-46,Elgin,Kane,0,0,0,1,0,0,0,0,1
Hinsdale South High School,Hinsdale Twp HSD 86,Darien,Dupage,0,0,0,0,0,0,1,0,1
Glenbard East High School,Glenbard Twp HSD 87,Lombard,Dupage,0,0,0,0,0,0,1,0,1
Addison Trail High School,DuPage HSD 88,Addison,Dupage,0,0,0,0,1,0,0,0,1
Jay Stream Middle School,CCSD 93,Carol Stream,Dupage,0,0,0,0,0,0,0,1,1
Comm H S Dist 99 - North H S,CHSD 99,Downers Grove,Dupage,0,0,1,0,0,0,0,0,1
Whittier Elem School,Oak Park ESD 97,Oak Park,Cook,1,0,0,0,0,0,0,0,1
Burr Ridge Middle School,CCSD 180,Burr Ridge,Dupage,0,0,0,0,0,0,1,0,1
Anne M Jeans Elem School,CCSD 180,Willowbrook,Dupage,0,0,0,0,1,0,0,0,1
Unity Jr High School,Cicero SD 99,Cicero,Cook,0,0,0,0,0,0,0,1,1
Brooks Middle School,Harvey SD 152,Harvey,Cook,0,0,0,0,0,0,0,1,1
William Harris Elem School,Decatur SD 61,Decatur,Macon,0,0,0,0,0,0,1,0,1
Emerson Elem School,CUSD 200,Wheaton,Dupage,0,0,0,0,0,0,0,1,1
Komensky Elem School,Berwyn South SD 100,Berwyn,Cook,0,0,0,0,1,0,0,0,1
Lisle High School,Lisle CUSD 202,Lisle,Dupage,0,0,0,0,0,0,0,1,1
J W Robinson Jr Elem School,Lyons SD 103,Lyons,Cook,0,1,0,0,0,0,0,0,1
Elmwood Elem School,Naperville CUSD 203,Naperville,Dupage,1,0,0,0,0,0,0,0,1
Mabel O Donnell Elem School,Aurora East USD 131,Aurora,Kane,0,0,0,0,0,1,0,0,1
Proviso East High School,Proviso Twp HSD 209,Maywood,Cook,0,0,0,1,0,0,0,0,1
PAEC Alternative Elementary,,Maywood,Cook,0,1,0,0,0,0,0,0,1
McCarty Elementary School,Indian Prairie CUSD 204,Aurora,Dupage,0,0,0,0,1,0,0,0,1
Nancy Young Elementary School,Indian Prairie CUSD 204,Aurora,Dupage,0,0,0,0,0,0,0,1,1
Benjamin Franklin Middle School,Springfield SD 186,Springfield,Sangamon,0,0,0,0,1,0,0,0,1
Washington Middle School,Springfield SD 186,Springfield,Sangamon,0,1,0,0,0,0,0,0,1
Matheny-Withrow Elem Sch,Springfield SD 186,Springfield,Sangamon,0,0,0,0,1,0,0,0,1
Jefferson Middle School,Springfield SD 186,Springfield,Sangamon,0,0,0,0,0,1,0,0,1
Lindsay School,Springfield SD 186,Springfield,Sangamon,0,0,0,0,0,1,0,0,1
Joseph Academy - Melrose Park,,Melrose Park,Cook,0,0,0,0,0,0,1,0,1
Worth Elem School,Worth SD 127,Worth,Cook,1,0,0,0,0,0,0,0,1
Auburn High School,Rockford SD 205,Rockford,Winnebago,1,0,0,0,0,0,0,0,1
Guilford High School,Rockford SD 205,Rockford,Winnebago,0,0,1,0,0,0,0,0,1
Jefferson High School,Rockford SD 205,Rockford,Winnebago,0,0,0,1,0,0,0,0,1
West Middle School,Rockford SD 205,Rockford,Winnebago,0,0,1,0,0,0,0,0,1
Developmental Learning Pgm   DLP,,Midlothian,Cook,1,0,0,0,0,0,0,0,1
Kennedy Middle School,Rockford SD 205,Rockford,Winnebago,1,0,0,0,0,0,0,0,1
Beyer Elem School,Rockford SD 205,Rockford,Winnebago,0,0,0,1,0,0,0,0,1
Clifford P Carlson Elem School,Rockford SD 205,Rockford,Winnebago,0,0,0,0,0,1,0,0,1
Conklin Elem School,Rockford SD 205,Rockford,Winnebago,0,0,0,0,0,1,0,0,1
Glenview Middle School,East Moline SD 37,East Moline,Rock Island,0,0,0,0,0,1,0,0,1
Lincoln Elem School,Cook County SD 130,Blue Island,Cook,0,0,0,0,0,0,0,1,1
Lincoln Elementary School,DeKalb CUSD 428,DeKalb,Dekalb,0,0,0,0,0,0,1,0,1
Edison Primary School,Kankakee SD 111,Kankakee,Kankakee,0,0,0,0,0,0,1,0,1
Taft Primary School,Kankakee SD 111,Kankakee,Kankakee,0,0,0,0,0,0,1,0,1
Mark Twain Primary School,Kankakee SD 111,Kankakee,Kankakee,1,0,0,0,0,0,0,0,1
Lincoln Cltrl Ctr-Montessori Elem,Kankakee SD 111,Kankakee,Kankakee,1,0,0,0,0,0,0,0,1
Rockford Envrnmntl Science Acad,Rockford SD 205,Rockford,Winnebago,0,0,0,1,0,0,0,0,1
Galesburg High School,Galesburg CUSD 205,Galesburg,Knox,0,0,1,0,0,0,0,0,1
Lombard Jr High School,Galesburg CUSD 205,Galesburg,Knox,0,0,1,0,0,0,0,0,1
Markham Park Elem School,Prairie-Hills ESD 144,Markham,Cook,0,0,0,0,0,0,0,1,1
Indian Trail Middle School,Plainfield SD 202,Plainfield,Will,0,0,0,0,0,0,0,1,1
Lincoln Junior High School,Dolton SD 148,Dolton,Cook,0,0,0,0,0,0,1,0,1
Lincoln Elem School,Marion CUSD 2,Marion,Williamson,1,0,0,0,0,0,0,0,1
Roosevelt Elem School,Dolton SD 148,Dolton,Cook,0,0,0,0,0,0,1,0,1
New Beginnings Learning Academy,Dolton SD 149,South Holland,Cook,0,0,0,1,0,0,0,0,1
Beulah Park Elem School,Zion ESD 6,Zion,Lake,0,0,0,0,0,0,0,1,1
Coolidge Middle School,South Holland SD 151,Phoenix,Cook,0,0,0,0,0,1,0,0,1
Euclid Elem School,River Trails SD 26,Mt Prospect,Cook,0,1,0,0,0,0,0,0,1
Bryant Elem School,Harvey SD 152,Harvey,Cook,0,0,0,0,0,0,0,1,1
Cicero East Elem School,Cicero SD 99,Cicero,Cook,0,0,0,0,0,0,1,0,1
Founders Elementary School,DeKalb CUSD 428,Dekalb,Dekalb,0,0,0,0,1,0,0,0,1
Washington Jr High & Academy Prgm,Joliet PSD 86,Joliet,Will,0,0,0,0,0,1,0,0,1
Reavis Elem School,Lansing SD 158,Lansing,Cook,0,0,0,0,0,0,1,0,1
Edna Keith Elem School,Joliet PSD 86,Joliet,Will,0,0,0,0,0,1,0,0,1
O W Huth Middle School,Matteson ESD 162,Matteson,Cook,0,0,0,0,0,0,1,0,1
Indiana Elem School,Matteson ESD 162,Park Forest,Cook,0,0,0,0,0,0,1,0,1
Michelle Obama Sch of Technology and the Arts,Park Forest SD 163,Park Forest,Cook,0,0,0,0,0,1,0,0,1
Medgar Evers Primary Academic Center,Ford Heights SD 169,Ford Heights,Cook,0,0,0,0,1,0,0,0,1
Adlai Stevenson Elem School,Schaumburg CCSD 54,Elk Grove Village,Cook,0,0,0,0,0,1,0,0,1
Thornwood High School,Thornton Twp HSD 205,South Holland,Cook,0,0,0,0,0,1,0,0,1
Crete-Monee Middle School,Crete Monee CUSD 201U,University Park,Will,0,0,0,1,0,0,0,0,1
Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Lansing,Cook,0,0,0,0,0,0,1,0,1
Pleasant Valley Elem School,Pleasant Valley SD 62,Peoria,Peoria,0,0,0,0,0,1,0,0,1
Fox Creek Elementary School,McLean County USD 5,Bloomington,McLean,1,0,0,0,0,0,0,0,1
Bloomington Jr High School,Bloomington SD 87,Bloomington,McLean,0,0,0,1,0,0,0,0,1
Dewey Elem School,Evanston CCSD 65,Evanston,Cook,0,0,0,0,0,1,0,0,1
Prairie-Hills Junior High School,Prairie-Hills ESD 144,Markham,Cook,0,0,0,0,0,0,0,1,1
Wesley Elem School,Addison SD 4,Addison,Dupage,0,0,0,0,1,0,0,0,1
Camelot Ther-Hoffman Estates,,Hoffman Estates,Cook,0,0,0,0,0,1,0,0,1
Independence Elem School,Valley View CUSD 365U,Bolingbrook,Will,0,0,0,0,0,0,1,0,1
Americana Intermediate School,Queen Bee SD 16,Glendale Heights,Dupage,0,0,0,0,0,0,0,1,1
Wm Fremd High School,Township HSD 211,Palatine,Cook,0,0,0,0,0,0,1,0,1
Forrestal Elem School,North Chicago SD 187,Great Lakes,Lake,0,0,0,0,0,1,0,0,1
A J Katzenmaier Academy,North Chicago SD 187,North Chicago,Lake,0,0,0,0,0,1,0,0,1
Thomas Elementary School,Carbondale ESD 95,Carbondale,Jackson,0,0,0,0,0,0,1,0,1
Bottenfield Elem School,Champaign CUSD 4,Champaign,Champaign,0,0,0,0,0,1,0,0,1
Jefferson Elementary School,,Bellwood,Cook,0,0,0,1,0,0,0,0,1
Roosevelt Middle School,Bellwood SD 88,Bellwood,Cook,0,1,0,0,0,0,0,0,1
