comm_area,pct_black,pct_latino,pct_white,poverty_rate,transfer_count,under_18_pop,transfer_rate
CALUMET HEIGHTS,0.934678124089717,0.0322604136323915,0.0224293620739878,0.0912514484356895,525,2303,0.0
ROGERS PARK,0.244843939561046,0.241443329289364,0.418532406896805,0.202917065900138,2666,9890,0.03599595551061679
LINCOLN SQUARE,0.0342974902480312,0.176246902676578,0.647800593704767,0.0908672647803083,1840,6641,0.033579280228881195
NORTH LAWNDALE,0.890038553123937,0.0700192765619685,0.0229901349359338,0.44447435724862,2969,11231,0.020924227584364706
ROSELAND,0.960969297729679,0.0105869897659099,0.013104340665804,0.221105006737846,5120,10196,0.047273440564927424
CHICAGO LAWN,0.469838526759194,0.474824935644723,0.0337167647747115,0.272302950242184,3555,17094,0.024277524277524276
GRAND BOULEVARD,0.906549450549451,0.0252307692307692,0.0316043956043956,0.326665201143108,1375,5695,0.08235294117647059
DOUGLAS,0.706834620872903,0.0238645869212223,0.106529547802982,0.337360594795539,3170,3222,0.08969584109248914
EDISON PARK,0.0105671010919338,0.0936069038393801,0.874075378654456,0.00648907103825137,302,2374,0.12721145745577084
HYDE PARK,0.299222846093779,0.0703156955341539,0.467928457219351,0.0976694915254237,910,3908,0.12896622313203684
FOREST GLEN,0.00960026034604328,0.119542224873895,0.718229646905679,0.0213414634146341,448,4745,0.028240252897787144
ENGLEWOOD,0.949810497301022,0.0261092607480571,0.00761839133264423,0.420363091895939,5633,7407,0.005265289590927501
HEGEWISCH,0.0632260947274352,0.473972296693476,0.455540661304736,0.127420081044575,459,2013,0.06706408345752608
MONTCLARE,0.0443228243274493,0.623757033839513,0.278655669467355,0.136856368563686,580,3196,0.18147684605757197
ARCHER HEIGHTS,0.00872639735198977,0.761754306778003,0.193936658391635,0.121850189851571,2535,3824,0.20685146443514643
BEVERLY,0.348642805668989,0.0679317799663704,0.557482584674514,0.0291762013729977,652,5028,0.059665871121718374
UPTOWN,0.207573861472333,0.116110778606018,0.5508279376825,0.161608658743633,2170,6221,0.0853560520816589
AVONDALE,0.0211978550388963,0.618388258100249,0.310339618841419,0.175220384011593,1462,9282,0.03856927386339151
WOODLAWN,0.852869999243742,0.0262799667246464,0.0712773198215231,0.337326120556414,3529,7136,0.061238789237668165
AVALON PARK,0.973504534800774,0.00631814939366147,0.00540099867522674,0.17722602739726,1461,1763,0.15995462280204198
BURNSIDE,1.0,0.0,0.0,0.290721649484536,350,629,0.5564387917329093
LOWER WEST SIDE,0.0324614937518163,0.804795117698344,0.134176111595466,0.248822143698469,2774,8485,0.033942251031231586
SOUTH LAWNDALE,0.110503074797497,0.852382629425947,0.0307073388779021,0.342871308166301,6486,21290,0.009347111319868482
ASHBURN,0.486924588323353,0.361503555389222,0.129935441616766,0.0917791658271207,3610,11048,0.025887038377986966
ALBANY PARK,0.0425315386240135,0.48009754411567,0.294725321146719,0.167185782337853,3714,12068,0.016241299303944315
PULLMAN,0.827564990001538,0.0847561913551761,0.0713736348254115,0.239198497182217,1471,1371,0.187454412837345
BRIDGEPORT,0.0280208609564218,0.281622911694511,0.319455493679837,0.161368879774417,1162,7031,0.02403641018347319
EAST SIDE,0.0287189822395768,0.797413612125793,0.170004618549775,0.196871423120946,2541,7531,0.0018589828708006906
AUBURN GRESHAM,0.968587757951224,0.0150298852580603,0.00503904716199119,0.244971537001898,3021,10690,0.024883068288119738
LAKE VIEW,0.0349040850405246,0.072547142915326,0.79609416364599,0.0446452123450277,2316,10792,0.017420311341734617
IRVING PARK,0.0224876150035386,0.466365888181175,0.400743099787686,0.103985713126065,3786,12387,0.03366432550254299
WEST GARFIELD PARK,0.95607060283088,0.0199063892178424,0.0177634917949586,0.415426997245179,2041,5745,0.04142732811140122
NORWOOD PARK,0.00810048458255985,0.114877407844934,0.814677306588876,0.0492182440558794,2801,8272,0.015836557059961315
BELMONT CRAGIN,0.0313723014770862,0.800113622017422,0.142633505870471,0.192508297771456,6486,22928,0.02176378227494766
LOGAN SQUARE,0.0463051147567372,0.465157144965057,0.439764450227367,0.153439516682686,2603,14883,0.0170664516562521
SOUTH DEERING,0.651486442339105,0.299248611564848,0.0386801698791245,0.248352907476368,1267,3884,0.12744593202883625
LINCOLN PARK,0.0478501769739691,0.0659806747412596,0.801624874923461,0.0359064761551308,1683,9545,0.014562598218962807
JEFFERSON PARK,0.00916960093896714,0.228066314553991,0.651445129107981,0.0787094763092269,686,5500,0.049272727272727274
EDGEWATER,0.143112277440636,0.162520729684909,0.545113261531172,0.133840460526316,2402,6173,0.06544629839624169
CHATHAM,0.966134124174878,0.00915207755349342,0.012372843521796,0.222471594894095,1351,6981,0.04340352385045122
WEST LAWN,0.0325811475159547,0.805978808513237,0.152340529481816,0.125526537489469,1969,9554,0.034017165585095245
WEST TOWN,0.075553270547545,0.271540744549087,0.582973055081676,0.121297783488596,4569,13965,0.029645542427497316
MCKINLEY PARK,0.0310357492654261,0.588393731635651,0.171523016650343,0.23876556578235,729,4409,0.05602177364481742
NEAR WEST SIDE,0.303911410439062,0.100148944437249,0.418922419375729,0.140661029976941,2005,9316,0.03273937312151138
SOUTH SHORE,0.93561184009765,0.0159495473502187,0.0220526904689248,0.328713858424726,3276,12031,0.00689884465131743
NORTH CENTER,0.0194668284088612,0.144037200704734,0.76024607919591,0.0247505507321498,994,7313,0.0012306850813619582
WASHINGTON PARK,0.959771542090887,0.0130783875506994,0.00397318102806059,0.450779171417712,1184,4481,0.09729970988618612
OHARE,0.00885759709289121,0.171519418578242,0.69766068589598,0.139775361026921,759,4750,0.15978947368421054
WEST RIDGE,0.112309758900998,0.175485729321018,0.442841118389165,0.184480888264948,5095,17975,0.026926286509040335
NEW CITY,0.239320400165519,0.608280797410121,0.123992892437261,0.29478672985782,4541,12428,0.02679433537174123
MOUNT GREENWOOD,0.0353511153702816,0.0641537560560081,0.867220358835117,0.0426591598094413,499,4822,0.07113231024471174
HUMBOLDT PARK,0.408663721801094,0.520114158986385,0.0537710639690244,0.308499475341028,4469,16247,0.03095956176524897
FULLER PARK,0.923076923076923,0.0618640618640619,0.0150590150590151,0.259117082533589,432,491,0.4989816700610998
RIVERDALE,0.941607898448519,0.0392101551480959,0.0108603667136812,0.606060606060606,609,3266,0.07256582976117575
EAST GARFIELD PARK,0.912751028308735,0.0352286474715703,0.0424872973626905,0.428471411901984,3904,6291,0.023525671594341123
HERMOSA,0.0148691592451646,0.882380634783632,0.0737573070736396,0.202109938922821,2063,7181,0.05236039548809358
WEST ENGLEWOOD,0.931552431894514,0.0486067918895385,0.00730812290085832,0.349751468594668,3928,8458,0.0506029794277607
NEAR SOUTH SIDE,0.240257131378063,0.0621847238962546,0.46444355162716,0.0587226746678097,644,3474,0.06793321819228555
SOUTH CHICAGO,0.740985940558818,0.216515394198256,0.0278341341875779,0.26789077212806,3286,7619,0.0
ARMOUR SQUARE,0.0962375954879703,0.0304133647461983,0.108588562861426,0.346880366342301,446,2668,0.07196401799100449
NORTH PARK,0.0256479774427936,0.196941763366229,0.507428695369266,0.103159406414552,699,3906,0.045570916538658475
CLEARING,0.00560852495793606,0.495192692893198,0.475562855540421,0.106288896167704,1170,6076,0.08294930875576037
WEST PULLMAN,0.934296602095903,0.0435058748809146,0.0148618609082248,0.267999420541793,2911,8077,0.04902810449424291
WASHINGTON HEIGHTS,0.957663372178787,0.0105841569553031,0.0129443870777401,0.140133037694013,2546,5175,0.034396135265700484
KENWOOD,0.677006988239305,0.0378955741151071,0.16919493210613,0.147091412742382,1417,3234,0.008967223252937539
GARFIELD RIDGE,0.041030534351145,0.466378536147283,0.472945666816345,0.052607130414586,1754,8077,0.04865667946019562
DUNNING,0.0240557815223707,0.266077861708309,0.658686809994189,0.0864186132397747,1278,8899,0.04607259242611529
WEST ELSDON,0.013651521467278,0.801636098374323,0.168559816590246,0.160280490859003,961,5563,0.07927377314398706
MORGAN PARK,0.545838628791262,0.0828839350118504,0.348091917699997,0.121011438892234,1515,6786,0.06071323312702623
BRIGHTON PARK,0.0153160490475544,0.851092710737071,0.0643409800461518,0.247330776407173,5791,13758,0.022023549934583515
PORTAGE PARK,0.0125219751411035,0.418036578971718,0.503392653363353,0.110658698364747,4678,13661,0.03176927018519874
GREATER GRAND CROSSING,0.960767946577629,0.0110678290978792,0.0144067272614852,0.34786917740337,3202,8421,0.026837667735423346
NEAR NORTH SIDE,0.0922868709967215,0.0528520259943298,0.715590764312632,0.0626523021675003,1017,6549,0.11146739960299282
OAKLAND,0.925879788227966,0.0325443786982249,0.0221114917471193,0.305483028720627,141,2010,0.07014925373134329
AUSTIN,0.830228485400899,0.114007148489907,0.0445807687186998,0.259815733522325,6583,25618,0.02139120930595675
GAGE PARK,0.0325712344060968,0.922503761953303,0.0354351730498519,0.221967963386728,4660,13450,0.03977695167286245
LOOP,0.123527300998744,0.0644698283595479,0.609353507565337,0.0494936295328324,0,2268,0.3218694885361552
