Comm Area,pct_black,pct_latino,pct_white,pct_poverty,pct_under_18,2010,2011,2012,2013,2014,2015,2016,2017,total
NEAR NORTH SIDE,0.09,0.05,0.72,0.06,0.08,16,21,9,28,17,15,48,36,190
NEAR NORTH SIDE,0.09,0.05,0.72,0.06,0.08,0,0,0,0,0,0,0,0,0
NEAR SOUTH SIDE,0.24,0.06,0.46,0.06,0.16,12,11,7,17,10,21,24,38,140
LAKE VIEW,0.03,0.07,0.8,0.04,0.11,37,61,46,79,77,69,83,126,578
LINCOLN PARK,0.05,0.07,0.8,0.04,0.14,37,32,30,41,29,21,24,55,269
AVONDALE,0.02,0.62,0.31,0.18,0.23,17,17,27,51,32,36,64,73,317
LOGAN SQUARE,0.05,0.47,0.44,0.15,0.2,59,51,46,78,68,42,76,105,525
LINCOLN SQUARE,0.03,0.18,0.65,0.09,0.16,53,61,43,39,52,45,41,73,407
EDISON PARK,0.01,0.09,0.87,0.01,0.21,2,18,5,14,18,3,5,26,91
JEFFERSON PARK,0.01,0.23,0.65,0.08,0.2,15,17,16,43,14,31,27,54,217
FOREST GLEN,0.01,0.12,0.72,0.02,0.26,7,10,6,15,11,10,14,40,113
ALBANY PARK,0.04,0.48,0.29,0.17,0.23,99,87,88,82,87,76,72,98,689
EDGEWATER,0.14,0.16,0.55,0.13,0.11,60,56,56,74,56,33,45,72,452
IRVING PARK,0.02,0.47,0.4,0.1,0.22,70,80,108,107,77,89,127,155,813
DUNNING,0.02,0.27,0.66,0.09,0.21,39,37,47,62,69,29,94,107,484
MONTCLARE,0.04,0.62,0.28,0.14,0.25,7,22,19,32,17,24,32,53,206
NORTH CENTER,0.02,0.14,0.76,0.02,0.21,22,24,22,37,25,29,26,44,229
ROGERS PARK,0.24,0.24,0.42,0.2,0.18,99,93,76,78,49,57,66,89,607
WEST RIDGE,0.11,0.18,0.44,0.18,0.25,115,154,106,189,140,154,137,203,1198
UPTOWN,0.21,0.12,0.55,0.16,0.11,40,50,26,62,41,39,43,50,351
NORWOOD PARK,0.01,0.11,0.81,0.05,0.2,54,79,51,96,85,58,81,158,662
NORTH PARK,0.03,0.2,0.51,0.1,0.21,27,12,24,26,11,19,24,37,180
OHARE,0.01,0.17,0.7,0.14,0.22,37,36,32,35,29,47,40,57,313
PORTAGE PARK,0.01,0.42,0.5,0.11,0.21,78,93,97,128,128,107,136,146,913
BELMONT CRAGIN,0.03,0.8,0.14,0.19,0.29,184,143,180,197,141,122,182,286,1435
HERMOSA,0.01,0.88,0.07,0.2,0.28,44,57,44,30,41,38,30,54,338
HUMBOLDT PARK,0.41,0.52,0.05,0.31,0.3,124,102,102,115,75,96,100,114,828
WEST TOWN,0.08,0.27,0.58,0.12,0.16,90,106,77,113,61,56,82,122,707
AUSTIN,0.83,0.11,0.04,0.26,0.26,232,216,191,266,174,198,222,256,1755
WEST GARFIELD PARK,0.96,0.02,0.02,0.42,0.32,59,48,50,64,27,34,37,41,360
EAST GARFIELD PARK,0.91,0.04,0.04,0.43,0.3,84,71,60,91,62,60,61,105,594
NEAR WEST SIDE,0.3,0.1,0.42,0.14,0.15,37,24,41,51,28,20,41,58,300
NORTH LAWNDALE,0.89,0.07,0.02,0.44,0.32,93,85,79,90,76,42,95,89,649
SOUTH LAWNDALE,0.11,0.85,0.03,0.34,0.29,148,147,141,157,134,118,151,169,1165
LOWER WEST SIDE,0.03,0.8,0.13,0.25,0.25,62,63,50,65,48,29,64,79,460
ARMOUR SQUARE,0.1,0.03,0.11,0.35,0.19,9,5,8,10,18,1,6,11,68
DOUGLAS,0.71,0.02,0.11,0.34,0.16,41,46,33,60,40,46,51,52,369
OAKLAND,0.93,0.03,0.02,0.31,0.31,10,3,3,2,1,2,1,6,28
FULLER PARK,0.92,0.06,0.02,0.26,0.2,11,7,5,14,8,5,5,1,56
GRAND BOULEVARD,0.91,0.03,0.03,0.33,0.25,23,21,32,50,25,27,33,42,253
KENWOOD,0.68,0.04,0.17,0.15,0.18,34,41,24,39,12,17,23,23,213
WASHINGTON PARK,0.96,0.01,0.0,0.45,0.37,28,29,19,29,16,29,29,21,200
HYDE PARK,0.3,0.07,0.47,0.1,0.15,17,16,12,21,12,17,19,11,125
WOODLAWN,0.85,0.03,0.07,0.34,0.27,69,58,35,69,38,48,56,59,432
SOUTH SHORE,0.94,0.02,0.02,0.33,0.24,109,103,110,97,63,77,94,126,779
BRIDGEPORT,0.03,0.28,0.32,0.16,0.21,36,27,31,55,23,21,30,57,280
GREATER GRAND CROSSING,0.96,0.01,0.01,0.35,0.26,78,80,78,86,75,68,111,79,655
ARCHER HEIGHTS,0.01,0.76,0.19,0.12,0.29,41,35,46,36,39,34,39,60,330
BRIGHTON PARK,0.02,0.85,0.06,0.25,0.31,106,69,85,86,108,63,79,152,748
MCKINLEY PARK,0.03,0.59,0.17,0.24,0.27,15,13,20,36,25,24,14,33,180
NEW CITY,0.24,0.61,0.12,0.29,0.3,92,84,85,104,102,92,111,86,756
WEST ELSDON,0.01,0.8,0.17,0.16,0.29,44,39,29,45,22,31,36,39,285
GAGE PARK,0.03,0.92,0.04,0.22,0.33,86,98,91,110,74,79,95,121,754
CLEARING,0.01,0.5,0.48,0.11,0.24,51,40,32,45,40,36,46,115,405
WEST LAWN,0.03,0.81,0.15,0.13,0.29,25,40,31,50,40,27,33,78,324
CHICAGO LAWN,0.47,0.47,0.03,0.27,0.31,116,84,131,134,70,81,114,120,850
WEST ENGLEWOOD,0.93,0.05,0.01,0.35,0.26,108,81,75,118,71,54,47,80,634
ENGLEWOOD,0.95,0.03,0.01,0.42,0.28,136,101,119,93,89,95,82,125,840
CHATHAM,0.97,0.01,0.01,0.22,0.22,38,40,45,60,39,30,36,48,336
AVALON PARK,0.97,0.01,0.01,0.18,0.18,30,26,21,42,29,39,29,31,247
GARFIELD RIDGE,0.04,0.47,0.47,0.05,0.23,84,43,62,76,68,53,38,108,532
SOUTH CHICAGO,0.74,0.22,0.03,0.27,0.27,84,103,55,91,60,50,77,71,591
BURNSIDE,1.0,0.0,0.0,0.29,0.24,15,4,9,12,16,12,9,15,92
CALUMET HEIGHTS,0.93,0.03,0.02,0.09,0.17,4,12,18,11,16,19,19,22,121
ROSELAND,0.96,0.01,0.01,0.22,0.24,171,141,105,142,113,76,98,128,974
PULLMAN,0.83,0.08,0.07,0.24,0.21,55,22,26,43,23,16,31,27,243
SOUTH DEERING,0.65,0.3,0.04,0.25,0.25,28,23,16,34,16,19,29,17,182
EAST SIDE,0.03,0.8,0.17,0.2,0.32,33,20,33,36,35,36,33,37,263
WEST PULLMAN,0.93,0.04,0.01,0.27,0.26,114,102,73,164,50,64,50,89,706
RIVERDALE,0.94,0.04,0.01,0.61,0.46,16,18,12,30,15,19,21,27,158
HEGEWISCH,0.06,0.47,0.46,0.13,0.22,13,11,12,7,8,17,10,15,93
ASHBURN,0.49,0.36,0.13,0.09,0.26,83,99,98,90,83,56,84,166,759
AUBURN GRESHAM,0.97,0.02,0.01,0.24,0.23,93,107,98,116,99,69,73,127,782
BEVERLY,0.35,0.07,0.56,0.03,0.24,16,16,15,24,25,13,15,46,170
WASHINGTON HEIGHTS,0.96,0.01,0.01,0.14,0.19,73,82,71,76,67,46,72,86,573
MOUNT GREENWOOD,0.04,0.06,0.87,0.04,0.26,17,17,15,18,20,28,16,30,161
MORGAN PARK,0.55,0.08,0.35,0.12,0.23,45,55,37,33,58,51,49,63,391
